customer_id,age,income,spending_score,visits_per_month
CUST1000,56,120186,55,9
CUST1001,69,49674,80,1
CUST1002,46,61271,62,8
CUST1003,32,88688,30,6
CUST1004,60,126076,55,6
CUST1005,25,16062,16,18
CUST1006,38,65448,12,17
CUST1007,56,110462,17,12
CUST1008,36,62915,16,6
CUST1009,40,19632,12,8
CUST1010,28,119592,8,19
CUST1011,28,149668,84,10
CUST1012,41,124779,3,1
CUST1013,53,123099,16,13
CUST1014,57,22561,30,17
CUST1015,41,97152,23,3
CUST1016,20,140036,92,8
CUST1017,39,139049,5,14
CUST1018,19,41734,84,3
CUST1019,41,41069,65,16
CUST1020,61,27910,30,13
CUST1021,47,88479,21,17
CUST1022,55,96264,84,13
CUST1023,19,38275,70,6
CUST1024,38,87274,22,17
CUST1025,50,115776,82,14
CUST1026,29,63447,72,17
CUST1027,39,141394,32,8
CUST1028,61,90703,33,11
CUST1029,42,91090,16,1
CUST1030,66,32260,76,7
CUST1031,44,127581,38,17
CUST1032,59,18812,98,10
CUST1033,45,131148,14,11
CUST1034,33,131421,36,9
CUST1035,32,16605,97,9
CUST1036,64,87303,23,5
CUST1037,68,91125,66,17
CUST1038,61,139040,85,9
CUST1039,69,19324,2,17
CUST1040,20,91323,91,19
CUST1041,54,24111,73,7
CUST1042,68,31389,65,9
CUST1043,24,137177,75,7
CUST1044,38,56427,67,13
CUST1045,26,137883,52,11
CUST1046,56,146189,62,14
CUST1047,35,140808,23,19
CUST1048,21,127221,26,11
CUST1049,42,28234,68,13
CUST1050,31,68441,82,14
CUST1051,67,15846,55,13
CUST1052,26,25954,6,1
CUST1053,43,94239,35,8
CUST1054,19,61514,22,12
CUST1055,37,103236,43,19
CUST1056,45,112579,15,12
CUST1057,64,57101,86,8
CUST1058,24,79323,60,8
CUST1059,61,106922,12,13
CUST1060,25,142534,49,12
CUST1061,64,82584,42,16
CUST1062,52,119537,38,1
CUST1063,31,93477,82,13
CUST1064,34,57533,45,7
CUST1065,53,16828,35,5
CUST1066,67,16917,30,8
CUST1067,57,35618,88,14
CUST1068,21,47254,30,13
CUST1069,19,120292,78,15
CUST1070,23,62362,6,17
CUST1071,59,35128,67,15
CUST1072,21,138781,80,18
CUST1073,46,80545,7,18
CUST1074,35,97180,52,2
CUST1075,43,102958,14,4
CUST1076,61,148291,73,1
CUST1077,51,54809,15,4
CUST1078,27,131748,21,18
CUST1079,53,20287,35,5
CUST1080,31,23512,66,19
CUST1081,48,147414,91,15
CUST1082,65,123872,2,8
CUST1083,32,108070,35,17
CUST1084,25,94767,82,1
CUST1085,31,112829,78,12
CUST1086,40,57078,20,19
CUST1087,57,121288,82,15
CUST1088,38,98524,10,9
CUST1089,33,27219,25,7
CUST1090,62,15235,66,2
CUST1091,35,57929,25,9
CUST1092,64,142309,54,10
CUST1093,41,82444,33,2
CUST1094,43,116834,36,19
CUST1095,42,99555,95,11
CUST1096,62,88698,14,13
CUST1097,58,139450,65,10
CUST1098,46,58925,80,14
CUST1099,32,102388,54,18
CUST1100,62,23007,52,19
CUST1101,18,73596,3,9
CUST1102,42,136101,99,7
CUST1103,24,103861,41,3
CUST1104,26,101740,6,6
CUST1105,41,30524,25,2
CUST1106,18,146149,13,6
CUST1107,61,140501,98,3
CUST1108,25,35611,8,16
CUST1109,41,29060,21,8
CUST1110,28,58303,98,2
CUST1111,68,54711,68,17
CUST1112,34,88340,25,9
CUST1113,25,117974,79,12
CUST1114,52,82728,68,3
CUST1115,52,26246,45,11
CUST1116,50,142796,60,1
CUST1117,22,107263,12,13
CUST1118,59,26302,32,15
CUST1119,56,82506,96,5
CUST1120,58,56157,92,17
CUST1121,45,69917,13,6
CUST1122,24,111646,31,11
CUST1123,26,98122,78,18
CUST1124,25,39519,20,4
CUST1125,29,95910,18,3
CUST1126,51,135430,93,13
CUST1127,50,86324,60,9
